POP_TOT_2022,A2021_1_Compr_media,CUM_2011_2021_TOT_TRS_IMM,TRS_IMM/TOT_POP*1000
9592,1050,726,76
8061,1050,774,96
3918,1050,352,90
15661,1050,1489,95
7838,1050,628,80
10912,1050,1299,119
13227,1050,920,70
3659,1050,122,33
5359,1055,450,84
7156,1055,866,121
4538,1055,478,105
5753,1055,484,84
3060,1060,184,60
10002,1060,683,68
3396,1060,273,80
3495,1065,383,110
8375,1065,587,70
12977,1065,1130,87
3443,1065,306,89
5577,1065,555,99
4535,1065,474,104
3097,1065,331,107
3804,1070,292,77
5245,1070,678,129
6150,1070,388,63
6300,1070,1989,316
3548,1075,456,129
8756,1075,738,84
14728,1075,1760,120
7582,1075,810,107
5039,1075,427,85
4623,1075,361,78
3070,1075,306,100
3085,1075,202,65
4559,1075,445,98
4872,1075,306,63
8094,1075,924,114
11366,1075,997,88
4278,1075,419,98
16037,1075,1435,90
4110,1075,371,90
6175,1075,753,122
4646,1075,382,82
3928,1075,531,135
4625,1075,417,90
4978,1075,443,89
4957,1075,401,81
6902,1075,440,64
6177,1075,584,95
4859,1075,373,77
6645,1075,722,109
4216,1075,375,89
3114,1075,223,72
11867,1075,961,81
7478,1075,610,82
9092,1075,982,108
7914,1075,801,101
8958,1075,901,101
5054,1075,618,122
10590,1075,1063,100
3658,1075,181,49
3979,1075,272,68
5249,1075,664,127
3778,1075,281,74
5611,1075,497,89
5140,1075,314,61
10120,1075,1153,114
12031,1075,467,39
3370,1075,202,60
6663,1075,481,72
16925,1075,2039,120
8298,1075,1003,121
3360,1075,311,93
4384,1075,410,94
8671,1075,770,89
9496,1075,694,73
13363,1080,527,39
3198,1080,334,104
14355,1080,936,65
5614,1080,697,124
12280,1085,1394,113
3597,1085,415,115
9641,1085,811,84
7562,1085,674,89
3613,1085,280,77
3215,1085,395,123
11076,1085,4223,381
3914,1085,511,131
10181,1090,1056,104
5195,1090,462,89
3013,1090,351,117
5175,1090,621,120
6708,1090,407,61
6462,1090,402,62
10179,1095,951,93
4682,1095,461,98
3295,1100,281,85
3287,1100,242,74
4193,1100,366,87
5475,1100,589,108
18116,1100,2904,160
12433,1100,1218,98
6685,1100,626,94
10751,1100,1264,118
7939,1100,1172,148
3949,1100,394,100
10719,1100,1098,102
8652,1100,834,96
3528,1100,369,105
5031,1100,918,182
8120,1100,1003,123
3332,1100,465,140
4811,1100,534,111
3364,1100,414,123
6157,1100,593,96
10733,1100,1234,115
4518,1100,425,94
8027,1100,676,84
3398,1100,457,135
5064,1100,519,103
6401,1100,640,100
8257,1100,682,83
4379,1100,581,133
3114,1100,542,174
5165,1100,425,82
11680,1100,917,78
9380,1100,687,73
6567,1100,514,78
12298,1100,1313,107
16554,1100,1052,64
12889,1100,954,74
13104,1100,1313,100
12762,1100,1574,123
9540,1100,838,88
6214,1100,568,91
5650,1100,347,61
